# §61 判定:三条全中年化 +10.37%,但 300 次随机对照 p=0.16,与随机无法区分;本表是状态频率统计,不是买点,不构成投资建议。
月份,t,代码,调整天数,深度,缩量比,收敛比
2016-03,785,002249,119,0.4176776429809359,0.4890904192829513,0.30423759507424825
2016-03,785,000756,112,0.358,0.4419524002757341,0.4144516129032258
2016-03,785,000567,38,0.2570224719101124,0.3928875672359953,0.5311355311355316
2016-03,785,000989,147,0.43426294820717126,0.33400214813982054,0.2760913558832031
2016-03,785,600893,118,0.448327415436367,0.4670468069818091,0.32399975038540024
2016-03,785,000100,21,0.07508532423208203,0.5807772627267448,0.5531237564663751
2016-03,785,000622,36,0.2747336377473365,0.4600245269611753,0.4201692524682653
2016-03,785,002157,147,0.4423337856173677,0.5031247839614288,0.5582291885458237
2016-03,785,600461,107,0.352,0.45761846129373185,0.5535535535535535
2016-03,785,600123,17,0.15673289183222971,0.5395359836109996,0.5594840313932703
2016-03,785,600285,116,0.37786640079760714,0.5713022696212976,0.5708040846063999
2016-03,785,600467,20,0.15591397849462363,0.5503621376341716,0.5102639296187684
2016-03,785,000828,116,0.41247484909456744,0.5470787328618704,0.4566594646061448
2016-03,785,600478,55,0.33333333333333337,0.5076799504582857,0.5438447543966035
2016-03,785,300097,91,0.44573082489146165,0.5905431283386043,0.4797500998873998
2016-03,785,603300,26,0.2568218298555378,0.49450930061169923,0.403631590461606
2016-03,785,002316,55,0.3536804308797128,0.4799490146150808,0.5037792174796748
2016-03,785,002750,35,0.28701716738197436,0.38992206231676857,0.5616928061822107
2016-03,785,300263,47,0.3861671469740634,0.5419174297662437,0.35519618239660694
2016-03,785,000888,26,0.19884009942004977,0.5313591965131972,0.5637929186466112
2016-03,785,002202,26,0.19066147859922167,0.46564007817618447,0.5543923532089212
2016-03,785,002342,106,0.35403726708074534,0.5561590349025677,0.594780567816613
2016-03,785,600816,52,0.4034869240348692,0.5591033357109775,0.4743872549019608
2016-03,785,002350,98,0.41463414634146345,0.5411887098992012,0.5606504369830596
2016-03,785,000709,17,0.13909774436090228,0.5041348293544122,0.471111692730485
2016-03,785,002487,58,0.44840116279069764,0.42697515578022116,0.5935929648241204
2016-03,785,600191,67,0.44462674323215756,0.3462886703208061,0.5785537400913403
2016-03,785,300145,85,0.37841043890865955,0.5398486098928124,0.5703735881841875
2016-03,785,002359,30,0.1766763848396501,0.4448822086147186,0.5699068812863612
2016-04,805,002057,110,0.4382183908045977,0.4581999476984843,0.4905225557411996
2016-04,805,002330,52,0.2734545454545454,0.5724496770077431,0.32388104152484654
2016-04,805,600085,38,0.11822289156626498,0.5076091562687974,0.3295079804775096
2016-04,805,600548,62,0.24610051993067594,0.5798724645894822,0.3948096149755374
2016-04,805,002166,63,0.2469018112488084,0.4751960191016303,0.4947862068965519
2016-04,805,600057,134,0.400974025974026,0.5694316063841298,0.4955348660459811
2016-04,805,000735,18,0.13816689466484267,0.5118727132002144,0.48221566146492373
2016-04,805,200054,35,0.18840579710144922,0.3738461339123257,0.4414110973231698
2016-04,805,000025,46,0.24194419441944193,0.5273626722773517,0.49118788572882865
2016-04,805,600892,57,0.3776315789473683,0.5861250395050499,0.5219712758388374
2016-04,805,002045,65,0.3802416488983653,0.5809550966405528,0.505201660431507
2016-04,805,601098,142,0.4197994987468672,0.5764268667944464,0.5237949435744904
2016-04,805,002224,40,0.23386651958080518,0.555388222809734,0.45916818457802044
2016-04,805,600641,50,0.27695351137487634,0.373581312759945,0.3942446628813313
2016-05,826,300150,72,0.29879518072289146,0.5487720261460349,0.4554166170457706
2016-05,826,002785,28,0.24486692015209133,0.3388880919976017,0.4130901287553649
2016-05,826,000561,44,0.29774872912127814,0.4431854418591446,0.47871299168925774
2016-05,826,000029,22,0.17102803738317762,0.23758943652837528,0.46480607428688697
2016-05,826,000959,37,0.30566801619433204,0.3649818733098205,0.4352331606217617
2016-05,826,002119,38,0.3038067349926794,0.4110464369622077,0.49970022735232483
2016-05,826,000048,56,0.2468326780253387,0.4608984184194502,0.476852280799284
2016-05,826,300329,39,0.2977382276603633,0.3957966795927123,0.37528779739063695
2016-05,826,600729,158,0.342687533729088,0.46884384492241316,0.3140862944162431
2016-05,826,600876,29,0.20460358056265993,0.36194724436810843,0.5089325927037981
2016-05,826,600736,47,0.13372093023255804,0.4633379642777827,0.4130921895006401
2016-05,826,002406,61,0.24694708276797828,0.48866542426963333,0.4903713053762642
2016-05,826,603999,45,0.2711457708458309,0.4620686016288135,0.3311489394703167
2016-05,826,600425,54,0.34082397003745313,0.5156094125195851,0.5067508328949675
2016-05,826,600604,59,0.3011583011583011,0.44328704229173216,0.48844604621581517
2016-05,826,601169,49,0.09198113207547176,0.5121136461769034,0.39700805523590327
2016-05,826,601177,36,0.2519823788546255,0.41347657464549803,0.508273335859543
2016-05,826,600276,143,0.21720025109855612,0.48144665440158496,0.516822598056855
2016-05,826,600622,74,0.3249630723781388,0.513511552585741,0.5079908675799085
2016-05,826,000419,143,0.3622448979591837,0.4183874435518515,0.5082711312844814
2016-05,826,000420,32,0.26794258373205737,0.3213145860454308,0.4983179142136249
2016-05,826,000666,86,0.3249892101855848,0.5123476038942841,0.4936469097774246
2016-05,826,300108,78,0.23741794310722109,0.5408882450405635,0.4592790054560402
2016-05,826,600151,85,0.30710659898477166,0.5514219148717904,0.4555600791790089
2016-05,826,600651,33,0.30834512022630844,0.3418475637451245,0.42227435485862447
2016-05,826,600652,32,0.31756756756756743,0.5110225697701108,0.49095806079261245
2016-05,826,000709,58,0.22426470588235303,0.49134927657098965,0.5051589889148864
2016-05,826,002336,36,0.30466237942122176,0.39193661892784326,0.4090201980598735
2016-05,826,000888,67,0.19884009942004977,0.49710021705609736,0.49642636792812517
2016-05,826,000520,50,0.2777314428690576,0.5454201619035327,0.2794797827593432
2016-05,826,600528,36,0.24879227053140096,0.46955869768884856,0.3447150935189208
2016-06,846,000040,107,0.30913173652694603,0.5233922971153352,0.4110116410522776
2016-06,846,000878,75,0.2271062271062272,0.5238271325773932,0.4487847222222221
2016-06,846,600693,55,0.24287652645861602,0.4697646668724812,0.44286789207782423
2016-06,846,600246,87,0.2344262295081967,0.40971066645733056,0.4841449988446847
2016-06,846,002468,63,0.2847436689314392,0.4898462715908999,0.4622036262203627
2016-06,846,002014,90,0.22333333333333327,0.4868573259156776,0.33441058787319183
2016-06,846,000597,59,0.24891774891774887,0.5047020726210415,0.3454231433506044
2016-06,846,601288,72,0.06557377049180335,0.5165769235977847,0.4857819905213272
2016-06,846,600383,82,0.29679420889348507,0.44266600127376604,0.23293172690763073
2016-06,846,002143,104,0.3258196721311475,0.4550249548463146,0.2962536242942163
2016-06,846,603099,53,0.24515824279641008,0.37407403841673453,0.5031126921610974
2016-06,846,600227,55,0.17147192716236725,0.42554937427726397,0.3476249228871076
2016-06,846,300315,54,0.2412177985948477,0.5390616539117394,0.40326134861172314
2016-06,846,002628,60,0.19898605830164762,0.40152267016323767,0.3536368260427266
2016-07,867,000012,99,0.2275280898876405,0.4145243825378502,0.47799696509863415
2016-07,867,002173,110,0.3014804845222072,0.5455845271355105,0.3216952265135159
2016-07,867,000798,30,0.1877394636015326,0.4837289961433439,0.47892950470068785
2016-07,867,002147,72,0.26402188782489733,0.40838614350931857,0.3765822784810127
2016-07,867,002015,57,0.13119834710743794,0.3467648301320369,0.3201000121966088
2016-07,867,600610,71,0.2703788748564868,0.48664877554714076,0.39401997665066785
2016-07,867,000036,88,0.1689587426326129,0.5407315215473177,0.5003613238907357
2016-07,867,600867,174,0.21310181531175998,0.31339042168868353,0.5086262751066044
2016-08,890,300149,48,0.13379164463246962,0.3494454128110011,0.34432589718719714
2016-08,890,002781,31,0.21470528661130228,0.3448219100696884,0.46656806484056085
2016-08,890,002091,50,0.19842164599774514,0.4043958670655566,0.46063229963753516
2016-08,890,002497,52,0.21006289308176096,0.4613015668078213,0.45881953098447936
2016-08,890,600366,26,0.13096200485044462,0.346789975365258,0.44814148681055155
2016-08,890,300014,17,0.1260426320667284,0.49707326168246135,0.41543630994806996
2016-08,890,603198,26,0.11088400613183458,0.4485775960688269,0.48559114075379134
2016-08,890,002097,54,0.19428007889546361,0.5163622351313069,0.4548976203652464
2016-08,890,002237,17,0.10277569392348085,0.3681172387347697,0.38512265892904274
2016-08,890,002646,26,0.12380038387715919,0.351316275791488,0.47352561343090893
2016-08,890,600699,54,0.20124405415294544,0.4856641215927003,0.3914028463549229
2016-08,890,600058,26,0.16420118343195278,0.40444600898004235,0.4816980078197736
2016-08,890,600563,31,0.1178247734138973,0.5050058762219898,0.46858202038924973
2016-08,890,600227,99,0.17147192716236725,0.41338488485016023,0.38647513292793984
2016-08,890,300315,98,0.2412177985948477,0.5307912448252494,0.376216995873232
2016-08,890,002664,31,0.21406250000000004,0.46336471465597256,0.4407346384958326
2016-08,890,300037,26,0.13349814585908526,0.41098435478606943,0.4085230896199872
2016-08,890,002263,31,0.16666666666666663,0.5401894040000487,0.4783803153368373
2016-08,890,000969,25,0.19947678221059506,0.5249971923689084,0.4300168634064079
2016-08,890,300048,25,0.14540816326530603,0.43971739803105064,0.4568419554543514
2016-08,890,600405,95,0.25510923185341783,0.5345493867135636,0.46766187583345686
2016-08,890,002407,36,0.13434492968171718,0.4013793488665036,0.45223008116360036
2016-08,890,002684,39,0.22043730477465417,0.3400760016778492,0.4223999999999997
