代码,日期,他_信号类型,我_信号类型,他_平台信号,我_平台信号,他_周线,我_周线,他_质量分,我_质量分
300308,2025-04-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.8098475538236838,0.7177800044782503
300476,2025-04-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.7696112488488712,0.7274622361653662
300750,2025-04-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7809836037173277,0.7400638189696288
600066,2025-04-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.847850968770721,0.6964484742557877
300308,2025-05-30,无信号,无信号,无平台信号,无平台信号,弱势结构,弱势结构,0.7930831559090192,0.7171596000387741
300476,2025-05-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8060267252549923,0.7265242776854756
300750,2025-05-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7946651849917536,0.7388034638990948
600066,2025-05-30,无信号,无信号,无平台信号,无平台信号,回踩修复,回踩修复,0.7736679474432367,0.695765804315473
300308,2025-06-30,无信号,无信号,无平台信号,无平台信号,突破启动,突破启动,0.7929243519762622,0.7165611785790453
300476,2025-06-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8057377051748041,0.7267676639374785
300750,2025-06-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7942284576168138,0.7383150038863318
600066,2025-06-30,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7731292313371685,0.6952893789810917
300308,2025-07-31,强确认,强确认,无平台信号,无平台信号,突破启动,突破启动,0.7919864249943245,0.7156948143433155
300476,2025-07-31,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.804618235268358,0.7248527211024036
300750,2025-07-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7928208006448361,0.7446245607336021
600066,2025-07-31,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7720898631165383,0.6933560166283668
300308,2025-08-29,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,,0.7470131937159602
300476,2025-08-29,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,,0.7366926837277739
300750,2025-08-29,无信号,无信号,无平台信号,无平台信号,多头趋势,多头趋势,0.7891968068404244,
600066,2025-08-29,观察级,观察级,无平台信号,无平台信号,多头趋势,多头趋势,0.7664823970223823,0.6730518272843786
300308,2025-09-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8167034315014915,0.7465073635743138
300476,2025-09-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.8132165509251752,0.7362462201044168
300750,2025-09-30,强确认,强确认,无平台信号,无平台信号,多头趋势,多头趋势,0.781151960264771,0.7216067546183086
