年,筛选器,选中,覆盖牛股,召回率,lift,随机95分位,代码,名称,行业
当前,距一年低点(高),,,,,,001258,立新能源,公用事业-电力
当前,距一年低点(高),,,,,,301365,矩阵股份,建筑-工程咨询服务
当前,距一年低点(高),,,,,,301536,星宸科技,电子-半导体
当前,距一年低点(高),,,,,,301321,翰博高新,电子-光学光电
当前,距一年低点(高),,,,,,688041,海光信息,电子-半导体
当前,距一年低点(高),,,,,,301529,福赛科技,汽车-汽车零部件
当前,距一年低点(高),,,,,,688480,赛恩斯,环保-环境治理
当前,距一年低点(高),,,,,,688523,航天环宇,国防军工-航天装备
当前,距一年低点(高),,,,,,301310,鑫宏业,汽车-汽车零部件
当前,距一年低点(高),,,,,,688031,星环科技-U,计算机-软件服务
当前,距一年低点(高),,,,,,603162,海通发展,交通运输-航运港口
当前,MA20持续度(高),,,,,,688498,源杰科技,电子-半导体
当前,MA20持续度(高),,,,,,688479,友车科技,计算机-软件服务
当前,MA20持续度(高),,,,,,301511,德福科技,电力设备-电池
当前,MA20持续度(高),,,,,,301369,联动科技,电子-半导体
当前,MA20持续度(高),,,,,,301377,鼎泰高科,机械设备-通用设备
当前,MA20持续度(高),,,,,,301526,国际复材,建材-玻璃玻纤
当前,MA20持续度(高),,,,,,301373,凌玮科技,化工-化学原料
当前,MA20持续度(高),,,,,,688432,有研硅,电子-半导体
当前,MA20持续度(高),,,,,,301307,美利信,通信-通信设备
当前,MA20持续度(高),,,,,,001389,广合科技,电子-元器件
当前,MA20持续度(高),,,,,,301536,星宸科技,电子-半导体
当前,MA20持续度(高),,,,,,688702,盛科通信-U,电子-半导体
当前,MA20持续度(高),,,,,,301396,宏景科技,计算机-软件服务
当前,MA20持续度(高),,,,,,688450,光格科技,机械设备-通用设备
当前,MA20持续度(高),,,,,,301273,瑞晨环保,机械设备-通用设备
当前,MA20持续度(高),,,,,,688141,杰华特,电子-半导体
当前,MA20持续度(高),,,,,,301365,矩阵股份,建筑-工程咨询服务
当前,MA20持续度(高),,,,,,001309,德明利,电子-半导体
当前,MA20持续度(高),,,,,,688347,华虹宏力,电子-半导体
当前,MA20持续度(高),,,,,,688307,中润光学,电子-光学光电
当前,MA20持续度(高),,,,,,688525,佰维存储,电子-半导体
当前,MA20持续度(高),,,,,,688172,燕东微,电子-半导体
当前,MA20持续度(高),,,,,,001256,炜冈科技,机械设备-专用设备
当前,MA20持续度(高),,,,,,301165,锐捷网络,通信-通信设备
当前,MA20持续度(高),,,,,,688409,富创精密,电子-半导体
当前,MA20持续度(高),,,,,,301312,智立方,机械设备-自动化设备
当前,MA20持续度(高),,,,,,301607,富特科技,汽车-汽车零部件
当前,MA20持续度(高),,,,,,301281,科源制药,医药医疗-化学制药
当前,MA20持续度(高),,,,,,301115,联检科技,社会服务-专业服务
当前,MA20持续度(高),,,,,,301626,苏州天脉,电子-消费电子
当前,MA20持续度(高),,,,,,688610,埃科光电,机械设备-通用设备
当前,MA20持续度(高),,,,,,301321,翰博高新,电子-光学光电
当前,MA20持续度(高),,,,,,603211,晋拓股份,汽车-汽车零部件
当前,MA20持续度(高),,,,,,688627,精智达,机械设备-专用设备
当前,MA20持续度(高),,,,,,603162,海通发展,交通运输-航运港口
当前,MA20持续度(高),,,,,,301322,绿通科技,汽车-摩托车及其他
当前,MA20持续度(高),,,,,,301419,阿莱德,通信-通信设备
当前,MA20持续度(高),,,,,,688485,九州一轨,机械设备-轨交设备
当前,MA20持续度(高),,,,,,001258,立新能源,公用事业-电力
当前,MA20持续度(高),,,,,,603124,江南新材,有色-金属新材料
当前,MA20持续度(高),,,,,,688530,欧莱新材,电子-半导体
当前,MA20持续度(高),,,,,,301568,思泰克,机械设备-专用设备
当前,MA20持续度(高),,,,,,001324,长青科技,机械设备-轨交设备
当前,MA20持续度(高),,,,,,301349,信德新材,电力设备-电池
当前,MA20持续度(高),,,,,,301588,美新科技,轻工制造-家居用品
当前,MA20持续度(高),,,,,,603296,华勤技术,电子-消费电子
当前,MA20持续度(高),,,,,,603061,金海通,电子-半导体
当前,MA20持续度(高),,,,,,301265,华新科技,环保-环境治理
当前,MA20持续度(高),,,,,,688231,隆达股份,国防军工-航天装备
当前,MA20持续度(高),,,,,,688545,兴福电子,电子-电子化学品
当前,MA20持续度(高),,,,,,688549,中巨芯-U,电子-电子化学品
当前,MA20持续度(高),,,,,,301251,威尔高,电子-元器件
当前,MA20持续度(高),,,,,,688629,华丰科技,国防军工-军工电子
当前,MA20持续度(高),,,,,,601133,柏诚股份,建筑-专业工程
当前,MA20持续度(高),,,,,,301379,天山电子,电子-光学光电
当前,MA20持续度(高),,,,,,301176,逸豪新材,电子-元器件
当前,MA20持续度(高),,,,,,301338,凯格精机,机械设备-专用设备
当前,MA20持续度(高),,,,,,001339,智微智能,计算机-IT设备
当前,MA20持续度(高),,,,,,301418,协昌科技,机械设备-自动化设备
当前,20日波动率(高),,,,,,301520,万邦医药,医药医疗-医疗服务
当前,20日波动率(高),,,,,,688432,有研硅,电子-半导体
当前,20日波动率(高),,,,,,688146,中船特气,电子-电子化学品
当前,20日波动率(高),,,,,,688371,菲沃泰,电子-电子化学品
当前,20日波动率(高),,,,,,301588,美新科技,轻工制造-家居用品
当前,20日波动率(高),,,,,,301310,鑫宏业,汽车-汽车零部件
当前,20日波动率(高),,,,,,301205,联特科技,通信-通信设备
当前,20日波动率(高),,,,,,301526,国际复材,建材-玻璃玻纤
当前,20日波动率(高),,,,,,301176,逸豪新材,电子-元器件
当前,20日波动率(高),,,,,,301251,威尔高,电子-元器件
当前,20日波动率(高),,,,,,688610,埃科光电,机械设备-通用设备
当前,20日波动率(高),,,,,,688141,杰华特,电子-半导体
当前,20日波动率(高),,,,,,688498,源杰科技,电子-半导体
当前,20日波动率(高),,,,,,688702,盛科通信-U,电子-半导体
当前,20日波动率(高),,,,,,688502,茂莱光学,电子-光学光电
当前,20日波动率(高),,,,,,301421,波长光电,电子-光学光电
当前,20日波动率(高),,,,,,688720,艾森股份,电子-半导体
当前,20日波动率(高),,,,,,688361,中科飞测,电子-半导体
当前,20日波动率(高),,,,,,301536,星宸科技,电子-半导体
当前,20日波动率(高),,,,,,301307,美利信,通信-通信设备
当前,20日波动率(高),,,,,,688347,华虹宏力,电子-半导体
当前,20日波动率(高),,,,,,688362,甬矽电子,电子-半导体
当前,20日波动率(高),,,,,,301326,捷邦科技,电子-消费电子
当前,20日波动率(高),,,,,,688450,光格科技,机械设备-通用设备
当前,20日波动率(高),,,,,,603137,恒尚节能,建筑-装修装饰
当前,20日波动率(高),,,,,,688147,微导纳米,电力设备-光伏设备
当前,20日波动率(高),,,,,,688584,上海合晶,电子-半导体
当前,20日波动率(高),,,,,,603065,宿迁联盛,化工-塑料
当前,20日波动率(高),,,,,,688403,汇成股份,电子-半导体
当前,20日波动率(高),,,,,,688549,中巨芯-U,电子-电子化学品
当前,20日波动率(高),,,,,,688535,华海诚科,电子-半导体
当前,20日波动率(高),,,,,,301295,美硕科技,电力设备-电网设备
当前,20日波动率(高),,,,,,688627,精智达,机械设备-专用设备
当前,20日波动率(高),,,,,,301379,天山电子,电子-光学光电
当前,20日波动率(高),,,,,,688392,骄成超声,机械设备-专用设备
当前,20日波动率(高),,,,,,301282,金禄电子,电子-元器件
当前,20日波动率(高),,,,,,688629,华丰科技,国防军工-军工电子
当前,20日波动率(高),,,,,,301396,宏景科技,计算机-软件服务
当前,20日波动率(高),,,,,,301369,联动科技,电子-半导体
当前,20日波动率(高),,,,,,688530,欧莱新材,电子-半导体
当前,20日波动率(高),,,,,,688381,帝奥微,电子-半导体
当前,20日波动率(高),,,,,,688387,信科移动-U,通信-通信设备
当前,20日波动率(高),,,,,,688729,屹唐股份,电子-半导体
当前,20日波动率(高),,,,,,688525,佰维存储,电子-半导体
当前,20日波动率(高),,,,,,301511,德福科技,电力设备-电池
当前,20日波动率(高),,,,,,688416,恒烁股份,电子-半导体
当前,20日波动率(高),,,,,,688120,华海清科,电子-半导体
当前,20日波动率(高),,,,,,301165,锐捷网络,通信-通信设备
当前,20日波动率(高),,,,,,301306,西测测试,社会服务-专业服务
当前,20日波动率(高),,,,,,688605,先锋精科,电子-半导体
当前,20日波动率(高),,,,,,688409,富创精密,电子-半导体
当前,20日波动率(高),,,,,,688419,耐科装备,电子-半导体
当前,20日波动率(高),,,,,,688307,中润光学,电子-光学光电
当前,20日波动率(高),,,,,,688143,长盈通,通信-通信设备
当前,20日波动率(高),,,,,,301611,珂玛科技,电子-半导体
当前,20日波动率(高),,,,,,688479,友车科技,计算机-软件服务
