代码,他,我,他RPS50,我RPS50,我合格
001333,无信号,无信号,79.76575121163167,80.81272762123825,True
001236,无信号,无信号,79.32148626817448,80.4677017442975,True
301239,无信号,无信号,78.81663974151859,79.95016292888634,True
301336,无信号,无信号,78.59450726978999,79.66264136476903,True
603065,无信号,无信号,78.5541195476575,79.64347326049453,True
688410,无信号,无信号,78.51373182552504,79.62430515622006,True
301175,无信号,无信号,77.78675282714055,78.97258961088748,True
688755,无信号,无信号,77.3626817447496,78.55089131684876,True
001323,无信号,无信号,75.96930533117933,77.18995591336017,True
688612,无信号,无信号,75.92891760904685,77.22829212190915,True
603205,无信号,无信号,75.2221324717286,76.48073605520413,True
603282,无信号,无信号,74.47495961227787,75.71401188422465,True
301380,无信号,无信号,73.38449111470113,74.85144719187272,True
301585,无信号,无信号,73.28352180936996,74.81311098332375,True
301353,无信号,无信号,73.12197092084006,74.58309373202991,True
001378,无信号,无信号,72.89983844911147,74.35307648073606,True
001366,无信号,无信号,72.859450726979,74.25723595936363,True
301552,无信号,无信号,72.39499192245557,73.79720145677592,True
603382,无信号,无信号,72.37479806138933,73.81636956105041,True
603273,无信号,无信号,72.2940226171244,73.77803335250144,True
301395,无信号,无信号,71.86995153473345,73.26049453709028,True
600925,无信号,无信号,71.8497576736672,73.35633505846272,True
301156,无信号,无信号,71.5670436187399,73.0879815986199,True
603073,无信号,无信号,71.32471728594507,72.76212382595362,True
301501,无信号,无信号,71.18336025848141,72.6279470960322,True
688475,无信号,无信号,71.14297253634895,72.57044278320875,True
001368,无信号,无信号,71.062197092084,72.53210657465978,True
301370,无信号,无信号,71.0016155088853,72.47460226183631,True
001380,无信号,无信号,70.75928917609046,72.3212574276404,True
001336,无信号,无信号,70.19386106623587,71.72704619513131,True
603207,无信号,无信号,70.17366720516964,71.70787809085681,True
001260,无信号,无信号,69.50726978998385,71.19033927544565,True
603170,无信号,无信号,69.42649434571891,71.11366685834771,True
301357,无信号,无信号,69.16397415185783,70.78780908568143,True
301448,无信号,无信号,69.12358642972536,70.74947287713245,True
301539,无信号,无信号,68.67932148626818,70.30860647881924,True
603091,无信号,无信号,68.51777059773829,70.11692543607437,True
301301,无信号,无信号,67.44749596122779,69.13935211807552,True
001328,无信号,无信号,67.26575121163167,68.92850297105616,True
603235,无信号,无信号,67.06381260096931,68.77515813686026,True
688370,无信号,无信号,66.72051696284329,68.2576193214491,True
603291,无信号,无信号,66.65993537964458,68.4301322599195,True
601022,无信号,无信号,66.59935379644588,68.410964155645,True
601136,无信号,无信号,66.2156704361874,68.00843396588078,True
301223,无信号,无信号,65.10500807754443,66.9350201265095,True
301507,无信号,无信号,64.76171243941842,66.68583477094116,True
301315,无信号,无信号,64.47899838449112,66.36956105041212,True
001358,无信号,无信号,64.15589660743134,66.05328732988308,True
603210,无信号,无信号,63.71163166397415,65.63158903584436,True
601033,无信号,无信号,63.52988691437803,65.36323557600153,True
301519,无信号,无信号,63.2875605815832,64.96070538623731,True
603255,无信号,无信号,62.98465266558966,64.88403296913935,True
001277,无信号,无信号,62.68174474959613,64.57734330074756,True
001222,无信号,无信号,62.66155088852988,64.55817519647307,True
688570,无信号,无信号,62.52019386106623,64.5006708836496,True
301173,无信号,无信号,62.41922455573506,64.28982173663024,True
301208,无信号,无信号,62.11631663974152,64.00230017251293,True
688489,无信号,无信号,62.09612277867528,63.98313206823845,True
