观察日,排名,代码,名称,申万一级,距一年低点涨幅,换手加速,流通市值亿,RPS60,RPS120,RPS250,MA20持续度120日,20日波动率,相对MA250,120日收益率,周线排列,周线已持续周,未来60日最大涨幅,启动(>=50%)
2019-02-28,45,600505,西昌电力,公用事业,0.8072,0.9817,24.6,84.3,95.9,81.0,0.542,0.033,0.297,0.4354,空头,86.0,0.407,False
2019-02-28,46,603360,百傲化学,基础化工,0.7812,0.5968,14.3,94.0,94.2,94.2,0.567,0.0247,0.3443,0.3806,空头,45.0,0.7794,True
2019-02-28,47,600369,西南证券,非银金融,0.7791,0.5765,292.6,92.4,94.1,87.3,0.45,0.0437,0.3079,0.3784,空头,157.0,0.207,False
2019-02-28,48,002170,芭田股份,基础化工,0.7656,1.3343,26.4,91.8,91.7,30.2,0.592,0.055,0.0795,0.3132,空头,95.0,0.1951,False
2019-02-28,49,601377,兴业证券,非银金融,0.75,0.7382,457.0,93.5,96.8,73.8,0.592,0.0404,0.279,0.4882,空头,28.0,0.1799,False
2019-02-28,50,603416,信捷电气,电力设备,0.7355,1.0829,10.8,96.5,89.7,89.1,0.533,0.0377,0.2202,0.2806,空头,52.0,0.0519,False
2019-02-28,51,603611,诺力股份,机械设备,0.7181,0.9225,40.0,94.8,87.7,93.9,0.625,0.0355,0.2783,0.2553,空头,59.0,0.1325,False
2019-02-28,52,000050,深天马Ａ,电子,0.704,1.4515,286.0,97.3,91.3,64.7,0.358,0.0624,0.182,0.3081,空头,3.0,0.2466,False
2019-02-28,53,000783,长江证券,非银金融,0.7024,0.5449,389.6,88.9,93.9,64.7,0.6,0.0365,0.2147,0.375,空头,95.0,0.1713,False
2019-02-28,54,000686,东北证券,非银金融,0.6991,0.6908,203.7,87.0,94.2,81.4,0.608,0.0364,0.2661,0.3813,空头,87.0,0.2839,False
2019-02-28,55,601788,光大证券,非银金融,0.6969,0.7149,517.4,89.6,81.8,74.6,0.525,0.0378,0.2254,0.1935,空头,148.0,0.1012,False
2019-02-28,56,002095,生 意 宝,传媒,0.6925,0.8484,73.6,89.8,18.4,14.6,0.275,0.0407,-0.0901,-0.0974,空头,25.0,0.1988,False
2019-02-28,57,600109,国金证券,非银金融,0.6906,0.5736,297.7,86.8,95.7,88.3,0.633,0.0363,0.2883,0.4233,空头,91.0,0.2636,False
2019-02-28,58,601208,东材科技,基础化工,0.6842,1.4492,33.1,95.2,92.9,65.6,0.5,0.0566,0.207,0.3427,空头,97.0,0.125,False
2019-02-28,59,002736,国信证券,非银金融,0.6791,0.8342,935.7,88.8,92.6,81.5,0.475,0.0341,0.2284,0.3373,空头,97.0,0.3122,False
2019-02-28,60,002079,苏州固锝,电子,0.6759,1.2036,49.6,89.5,77.2,69.2,0.458,0.0518,0.1184,0.162,空头,43.0,0.1799,False
2019-02-28,61,600331,宏达股份,有色金属,0.672,0.5408,63.9,91.2,80.3,14.1,0.383,0.06,0.068,0.1835,空头,8.0,0.3354,False
2019-02-28,62,600584,长电科技,电子,0.665,0.9185,141.6,93.3,11.0,20.4,0.3,0.0462,-0.0956,-0.1494,空头,11.0,0.1817,False
2019-02-28,63,300268,佳沃食品,农林牧渔,0.664,0.5778,14.1,91.9,86.3,71.8,0.6,0.0324,0.1016,0.24,空头,22.0,0.2732,False
2019-02-28,64,002500,山西证券,非银金融,0.6585,0.5595,231.1,85.4,88.4,79.9,0.542,0.0348,0.2043,0.2639,空头,108.0,0.2632,False
